"lat","lng","color","name","sid","nid"
"23.2632607","77.4270070","#2dd86f","dark_tan","boyLeheNYATS","i261"
"19.8630033","81.6383733","#13d813","tremendous_salmon","1sxsxXZ7wVcE","i262"
"28.0038611","78.1314968","#e08bbe","cheerful_yellow","evBXLRQsmCuj","i263"
"28.6055498","77.3766744","#fda5ff","empty_jade","V4HyFYxradJ2","i264"
"28.6287408","77.2953292","#99ea67","wee_tomato","2FlX0Ht1w_cZ","i265"
"12.7226287","77.8619557","#f7a78f","civil_copper","xKaJKGbg7VVF","i266"
"23.2317259","72.6184959","#bcef8f","sure_chocolate","qsq-YRP2i21o","i267"
"28.6580444","77.2240753","#327ae5","marxist_turquoise","mCnR592iVmwz","i268"
"18.9569802","72.8354851","#f2188c","evil_teal","_SGDY1SXImmY","i269"
"22.6418398","88.3830084","#5aa1ed","selected_amaranth","4GFOya3vJJUs","i270"
"28.6779709","77.2665049","#efaac7","selected_amber","YWiYRbxvV9Vp","i271"
"28.4867878","77.5147668","#54d378","fast_plum","QWusNbW-gqM4","i272"
"19.0417086","72.8594299","#1193bf","worrying_ivory","ZlLAaFZBgSLl","i273"
"28.5765238","77.3483243","#d60a95","potential_maroon","0zxoQObvcykB","i274"
"28.4027183","76.9432317","#eda371","sore_green","D--0PZuaFoyE","i275"
"12.8780958","79.1357471","#498ccc","racial_coral","N_JzyxhI0S8J","i276"
"19.0645478","72.8812131","#64e5ba","sticky_coffee","dk9x6kgItenm","i277"
"28.6435882","77.2773307","#5719b5","dependent_yellow","s6xCzRGQ79FB","i278"
"19.0409024","72.8510214","#e1a7f2","selected_silver","VBiKetwiMjeS","i279"
"19.3459606","73.1570289","#ecccff","condemned_green","F5t-XFfCA9iJ","i280"
"17.4296790","78.4601174","#8686d8","reluctant_teal","hAf7_oB7xw6C","i281"
"17.4411329","78.4502504","#b1d0ef","adverse_maroon","upRTucUpvjES","i282"
"21.1963336","72.8627248","#2ec96c","leading_scarlet","wOJVXVdhc15v","i283"
"12.7217845","77.8640540","#ed0eed","little_azure","96NsSmoUECqx","i284"
"21.1980740","72.8662106","#65d8ac","magenta_salmon","T4b_N31HAUIi","i285"
"22.6948542","88.4949905","#3e2fb5","marxist_peach","mUIq6ALCltYe","i286"
"19.0409333","72.8510067","#01095b","sudden_brown","Eu4qOKL6tke4","i287"
"18.6657367","73.7102859","#acff68","weird_salmon","zXdk6ZxChVRq","i288"
"27.0027334","75.8025285","#a83403","living_fuchsia","p1EFb7papmeG","i289"
"28.6558137","77.1586386","#ea5bc4","hot_amethyst","9DUnL_souNVX","i290"
